Spanish,English
fiesta,part
historia,history
buscar,search
solo (m)/ sola (f),only
policía,police
pensamiento,thought
ayuda,help
pedido,request
amable,kind
mes,month
hermano,brother
dejar,let
porque,because
poner,to put
no,no
correa,leash
ellas/ellos,them
ciudad,city
cada,each
hablar,speak
venir,come
debería,should
bebé,baby
mucho tiempo,long time
horas,hours
volundad,will
mientras,while
comer,eat
cualquier,any
nosotros,We
excelente,Great
comprendido,understood
sabía,knew
eran,were
advertencia,Warning
aquí,here
podría,could
caso,case
dar,give
tipo,type
suyo,their
autobús,Bus
tren,train
cuerpo,body
suficiente,enough
ojos,eyes
forma,way
escuchar,listen
cuyo,whose
encontrar,find
pies,feet
palabras,words
mano,hand
comenzar,begin
dónde,Where
fuerza,power
mente,mind
cerca,closer
allá,there
mañana,morning
mucho,so much
cosa,thing
punto,point
saltar,jump
después,after
lo siento,sorry
hombres,man
delante de,in front of
hacia,towards
minutos,minutes
bailar,dance
dormitorio,bedroom
estudiante,student
bonito (m)/ bonita (f),pretty
ley,law
quisiera,would like to
hoy,today
marido,husband
causa,cause
finalmente,finally
esperanza,hope
agua,water
esperar,Wait
caminar,walk
nuevo (m)/ nueva (f),new
trabajo,job
detener,Stop
diría,would say
tierra,Earth
cuenta,account
chicos/niño,boys
lejos,far
fin,end
creer,believe
cariño,sweetheart
grande,large
bastante,rather
mujeres,women
chicas/ niña,girls
jugar,to play
oficina,office
